Year,Mes,CCAA,Producto,Volumen (miles de kg),Valor (miles de €),Precio medio kg,Penetración (%),Consumo per cápita,Gasto per cápita
2018,Enero,Total Nacional,TOTAL PATATAS,108430.72,8464008,0.78,79.4,2.38,1.85
2018,Enero,Total Nacional,PATATAS FRESCAS,79445.66,5468829,0.69,68.46,1.74,1.2
2018,Enero,Total Nacional,PATATAS CONGELADAS,3999.9,485779,1.21,12.06,0.09,0.11
2018,Enero,Total Nacional,PATATAS PROCESADAS,4997.03,25094,5.02,45.94,0.11,0.55
2018,Enero,Total Nacional,T.HORTALIZAS FRESCAS,209957.24,37668856,1.79,97.27,4.6,8.25
2018,Enero,Total Nacional,TOMATES,39934.35,6751773,1.69,77.9,0.88,1.48
2018,Enero,Total Nacional,CEBOLLAS,25922.07,2625486,1.01,69.76,0.57,0.58
2018,Enero,Total Nacional,AJOS,2572.64,1073654,4.17,34.75,0.06,0.24
2018,Enero,Total Nacional,COLES,7041.12,762486,1.08,23.93,0.15,0.17
2018,Enero,Total Nacional,PEPINOS,4143.06,633535,1.53,22.2,0.09,0.14
2018,Enero,Total Nacional,JUDIAS VERDES,7030.04,2034643,2.89,33.73,0.15,0.45
2018,Enero,Total Nacional,PIMIENTOS,15385.94,2859329,1.86,61.36,0.34,0.63
2018,Enero,Total Nacional,CHAMPIÑONES+O.SETAS,5755.65,2095366,3.64,41.3,0.13,0.46
2018,Enero,Total Nacional,LECHUGA/ESC./ENDIVIA,12038.11,336684,2.8,58.4,0.26,0.74
2018,Enero,Total Nacional,ESPARRAGOS,1652.94,469018,2.84,7.72,0.04,0.1
2018,Enero,Total Nacional,VERDURAS DE HOJA,4933.06,1217573,2.47,27.23,0.11,0.27
2018,Enero,Total Nacional,BERENJENAS,4383.37,767576,1.75,27.33,0.1,0.17
2018,Enero,Total Nacional,ZANAHORIAS,13553.18,1133557,0.84,57.48,0.3,0.25
2018,Enero,Total Nacional,CALABACINES,15570.6,221634,1.42,52.47,0.34,0.49
2018,Enero,Total Nacional,OTR.HORTALIZAS/VERD.,50041.09,966168,1.93,82.31,1.1,2.12
2018,Enero,Total Nacional,BROCOLI,6535.18,883266,1.35,28.53,0.14,0.19
2018,Enero,Total Nacional,ALCACHOFAS,8463.51,1541997,1.82,26.25,0.19,0.34
2018,Enero,Total Nacional,VERD./HORT. IV GAMA,23884.5,6269401,2.62,65.1,0.52,1.37
2018,Enero,Andalucía,TOTAL PATATAS,22409.72,1725505,0.77,82.96,2.58,1.99
2018,Enero,Andalucía,PATATAS FRESCAS,15651.83,1039972,0.66,71.12,1.8,1.2
2018,Enero,Andalucía,PATATAS CONGELADAS,956.43,114288,1.19,16.79,0.11,0.13
2018,Enero,Andalucía,PATATAS PROCESADAS,1160.29,571245,4.92,51.61,0.13,0.66
2018,Enero,Andalucía,T.HORTALIZAS FRESCAS,36232.06,6100446,1.68,96.72,4.17,7.02
2018,Enero,Andalucía,TOMATES,7480.28,1103197,1.47,79.01,0.86,1.27
2018,Enero,Andalucía,CEBOLLAS,4717.41,43618,0.92,72.88,0.54,0.5
2018,Enero,Andalucía,AJOS,538.35,214082,3.98,40.69,0.06,0.25
2018,Enero,Andalucía,COLES,1066.82,104578,0.98,17.48,0.12,0.12
2018,Enero,Andalucía,PEPINOS,684.99,107188,1.56,25.45,0.08,0.12
2018,Enero,Andalucía,JUDIAS VERDES,954.39,208655,2.19,32.32,0.11,0.24
2018,Enero,Andalucía,PIMIENTOS,2714.09,488653,1.8,63.87,0.31,0.56
2018,Enero,Andalucía,CHAMPIÑONES+O.SETAS,908.6,340552,3.75,39.6,0.1,0.39
2018,Enero,Andalucía,LECHUGA/ESC./ENDIVIA,1939.78,562443,2.9,57.76,0.22,0.65
2018,Enero,Andalucía,ESPARRAGOS,276.53,64545,2.33,7.35,0.03,0.07
2018,Enero,Andalucía,VERDURAS DE HOJA,751.1,186274,2.48,26.36,0.09,0.21
2018,Enero,Andalucía,BERENJENAS,902.51,146252,1.62,30.99,0.1,0.17
2018,Enero,Andalucía,ZANAHORIAS,2245.92,174242,0.78,52.51,0.26,0.2
2018,Enero,Andalucía,CALABACINES,2693.93,366649,1.36,49.57,0.31,0.42
2018,Enero,Andalucía,OTR.HORTALIZAS/VERD.,8357.34,1596956,1.91,83,0.96,1.84
2018,Enero,Andalucía,BROCOLI,972.91,135896,1.4,29.01,0.11,0.16
2018,Enero,Andalucía,ALCACHOFAS,1064.79,184468,1.73,22.93,0.12,0.21
2018,Enero,Andalucía,VERD./HORT. IV GAMA,4587.51,1088652,2.37,64.84,0.53,1.25
2018,Enero,Aragón,TOTAL PATATAS,2646.29,198131,0.75,72.65,2.02,1.51
2018,Enero,Aragón,PATATAS FRESCAS,2075.29,135756,0.65,63.55,1.58,1.03
2018,Enero,Aragón,PATATAS CONGELADAS,60.13,7222,1.2,9.95,0.05,0.06
2018,Enero,Aragón,PATATAS PROCESADAS,102.17,55153,5.4,38.73,0.08,0.42
2018,Enero,Aragón,T.HORTALIZAS FRESCAS,6769.46,1233994,1.82,98.32,5.16,9.4
2018,Enero,Aragón,TOMATES,1151.9,20385,1.77,87.79,0.88,1.55
2018,Enero,Aragón,CEBOLLAS,771.52,80992,1.05,73.15,0.59,0.62
2018,Enero,Aragón,AJOS,63.53,25452,4.01,31.91,0.05,0.19
2018,Enero,Aragón,COLES,146.69,15398,1.05,22.15,0.11,0.12
2018,Enero,Aragón,PEPINOS,176.04,27583,1.57,24.84,0.13,0.21
2018,Enero,Aragón,JUDIAS VERDES,284.13,82897,2.92,36.54,0.22,0.63
2018,Enero,Aragón,PIMIENTOS,432.37,81944,1.9,55.9,0.33,0.62
2018,Enero,Aragón,CHAMPIÑONES+O.SETAS,155.3,60719,3.91,51.25,0.12,0.46
2018,Enero,Aragón,LECHUGA/ESC./ENDIVIA,530.03,149261,2.82,63.68,0.4,1.14
2018,Enero,Aragón,ESPARRAGOS,50.02,20875,4.17,11.71,0.04,0.16
2018,Enero,Aragón,VERDURAS DE HOJA,348.55,59762,1.71,32.98,0.27,0.46
2018,Enero,Aragón,BERENJENAS,85.81,15521,1.81,21.06,0.07,0.12
