inicio,fin,grupo,sector,subsector,producto,tipo,subtipo,posicion,categoria,precio,year,day,month_day,week,month
2018-01-01,2018-01-07,Agricultura,Frutales,Cítricos,Limón,NA,NA,Mercas,NA,0.92,2018,01,01-01,1,Enero
2018-01-01,2018-01-07,Agricultura,Frutales,Cítricos,Mandarina,NA,NA,Mercas,NA,0.84,2018,01,01-01,1,Enero
2018-01-01,2018-01-07,Agricultura,Frutales,Cítricos,Naranja,NA,NA,Mercas,NA,0.78,2018,01,01-01,1,Enero
2018-01-01,2018-01-07,Agricultura,Frutales,Cítricos,Pomelo,NA,NA,Mercas,NA,1.01,2018,01,01-01,1,Enero
2018-01-01,2018-01-07,Agricultura,Frutales,Frutales no cítricos,Aguacate,NA,NA,Mercas,NA,3.77,2018,01,01-01,1,Enero
2018-01-01,2018-01-07,Agricultura,Frutales,Frutales no cítricos,Aguacate,NO DESIGNADO,BACON,Agricultor,I,1.2,2018,01,01-01,1,Enero
2018-01-01,2018-01-07,Agricultura,Frutales,Frutales no cítricos,Aguacate,NO DESIGNADO,BACON,Agricultor,II,0.59,2018,01,01-01,1,Enero
2018-01-01,2018-01-07,Agricultura,Frutales,Frutales no cítricos,Aguacate,NO DESIGNADO,BACON,Agricultor,SIN ESPECIFICAR,1.27,2018,01,01-01,1,Enero
2018-01-01,2018-01-07,Agricultura,Frutales,Frutales no cítricos,Aguacate,NO DESIGNADO,FUERTE,Agricultor,I,1.7,2018,01,01-01,1,Enero
2018-01-01,2018-01-07,Agricultura,Frutales,Frutales no cítricos,Aguacate,NO DESIGNADO,FUERTE,Agricultor,II,0.57,2018,01,01-01,1,Enero
2018-01-01,2018-01-07,Agricultura,Frutales,Frutales no cítricos,Aguacate,NO DESIGNADO,FUERTE,Agricultor,SIN ESPECIFICAR,1.56,2018,01,01-01,1,Enero
2018-01-01,2018-01-07,Agricultura,Frutales,Frutales no cítricos,Aguacate,NO DESIGNADO,HASS,Agricultor,I,2.9,2018,01,01-01,1,Enero
2018-01-01,2018-01-07,Agricultura,Frutales,Frutales no cítricos,Aguacate,NO DESIGNADO,HASS,Agricultor,II,1.62,2018,01,01-01,1,Enero
2018-01-01,2018-01-07,Agricultura,Frutales,Frutales no cítricos,Aguacate,NO DESIGNADO,HASS,Agricultor,SIN ESPECIFICAR,2.44,2018,01,01-01,1,Enero
2018-01-01,2018-01-07,Agricultura,Frutales,Frutales no cítricos,Aguacate,NO DESIGNADO,SIN ESPECIFICAR,Agricultor,I,2.05,2018,01,01-01,1,Enero
2018-01-01,2018-01-07,Agricultura,Frutales,Frutales no cítricos,Aguacate,NO DESIGNADO,SIN ESPECIFICAR,Agricultor,II,0.49,2018,01,01-01,1,Enero
