Producto,Origen,Unidad,Familia,Year,Mes,Precio medio,Volumen
Aceitunas,Barcelona,kg,Frutas hueso,2018,4,3.8,12
Aceitunas,Barcelona,kg,Frutas hueso,2018,5,3.8,5
Aceitunas,Barcelona,kg,Frutas hueso,2018,6,3.8,10
Aceitunas,Barcelona,kg,Frutas hueso,2018,7,3.8,4
Aceitunas,Barcelona,kg,Frutas hueso,2018,8,3.8,12
Aceitunas,Barcelona,kg,Frutas hueso,2018,10,3.8,1543
Aceitunas,Barcelona,kg,Frutas hueso,2020,10,3.8,79
Aceitunas,Castellón,kg,Frutas hueso,2018,10,3.8,80
Aceitunas,Ciudad Real,kg,Frutas hueso,2020,9,3.8,210
Aceitunas,Ciudad Real,kg,Frutas hueso,2020,10,3.8,282
Aceitunas,Córdoba,kg,Frutas hueso,2018,9,3.8,800
Aceitunas,Córdoba,kg,Frutas hueso,2018,10,3.8,28
Aceitunas,Córdoba,kg,Frutas hueso,2019,9,3.8,4929
Aceitunas,Córdoba,kg,Frutas hueso,2019,10,3.8,5451
Aceitunas,Córdoba,kg,Frutas hueso,2019,11,3.8,691
Aceitunas,Córdoba,kg,Frutas hueso,2020,9,3.8,33633
Aceitunas,Córdoba,kg,Frutas hueso,2020,10,3.8,25938
Aceitunas,Córdoba,kg,Frutas hueso,2020,11,3.8,30032
Aceitunas,Francia,kg,Frutas hueso,2018,5,3.8,4
Aceitunas,Granada,kg,Frutas hueso,2019,10,3.8,35
Aceitunas,Granada,kg,Frutas hueso,2020,9,3.8,494
Aceitunas,Granada,kg,Frutas hueso,2020,10,3.8,148
Aceitunas,Granada,kg,Frutas hueso,2020,11,3.8,167
Aceitunas,Italia,kg,Frutas hueso,2018,1,3.8,232
Aceitunas,Italia,kg,Frutas hueso,2018,3,3.8,100
Aceitunas,Lérida,kg,Frutas hueso,2018,4,3.8,6
Aceitunas,Lérida,kg,Frutas hueso,2020,1,3.8,760
Aceitunas,Otras provincias,kg,Frutas hueso,2018,11,3.8,660
Aceitunas,Sevilla,kg,Frutas hueso,2018,9,3.8,9104
Aceitunas,Sevilla,kg,Frutas hueso,2018,10,3.8,30287
Aceitunas,Sevilla,kg,Frutas hueso,2018,11,3.8,33379
Aceitunas,Sevilla,kg,Frutas hueso,2019,9,3.8,18636
Aceitunas,Sevilla,kg,Frutas hueso,2019,10,3.8,896
Aceitunas,Sevilla,kg,Frutas hueso,2019,11,3.8,300
Aceitunas,Sevilla,kg,Frutas hueso,2020,9,3.8,2030
Aceitunas,Sevilla,kg,Frutas hueso,2020,10,3.8,130
Aceitunas,Tarragona,kg,Frutas hueso,2018,9,3.8,143
Aceitunas,Tarragona,kg,Frutas hueso,2018,10,3.8,903
Aceitunas,Tarragona,kg,Frutas hueso,2019,9,3.8,2249
Aceitunas,Tarragona,kg,Frutas hueso,2019,10,3.8,3318
Aceitunas,Tarragona,kg,Frutas hueso,2019,11,3.8,88
Aceitunas,Tarragona,kg,Frutas hueso,2020,5,3.8,45
Aceitunas,Tarragona,kg,Frutas hueso,2020,9,3.8,1225
Aceitunas,Tarragona,kg,Frutas hueso,2020,10,3.8,1040
Aceitunas,Valencia,kg,Frutas hueso,2018,9,3.8,4708
Aceitunas,Valencia,kg,Frutas hueso,2018,10,3.8,330
Aceitunas,Valencia,kg,Frutas hueso,2019,8,3.8,205
Aceitunas,Valencia,kg,Frutas hueso,2019,9,3.8,4335
Aceitunas,Valencia,kg,Frutas hueso,2019,10,3.8,801
Aceitunas,Valencia,kg,Frutas hueso,2020,8,3.8,223
Aceitunas,Valencia,kg,Frutas hueso,2020,9,3.8,2712
Aceitunas,Valencia,kg,Frutas hueso,2020,10,3.8,630
Aceitunas,Valencia,kg,Frutas hueso,2020,11,3.8,9
Acelgas,Alemania,kg,Hortalizas hoja,2018,5,0.5,280
Acelgas,Alemania,kg,Hortalizas hoja,2018,7,0.5,182
Acelgas,Alemania,kg,Hortalizas hoja,2018,9,0.55,119
Acelgas,Alemania,kg,Hortalizas hoja,2019,7,0.6,2305
Acelgas,Alemania,kg,Hortalizas hoja,2019,8,0.5,2240
Acelgas,Alemania,kg,Hortalizas hoja,2019,10,0.653846154,20260
Acelgas,Alemania,kg,Hortalizas hoja,2019,12,0.7,12
Acelgas,Alemania,kg,Hortalizas hoja,2020,1,0.7,1289
Acelgas,Alemania,kg,Hortalizas hoja,2020,6,0.6,1620
Acelgas,Alicante,kg,Hortalizas hoja,2018,1,0.75,408
Acelgas,Alicante,kg,Hortalizas hoja,2018,3,0.575,1420
Acelgas,Alicante,kg,Hortalizas hoja,2018,11,0.95,302
Acelgas,Alicante,kg,Hortalizas hoja,2018,12,0.838461538,4056
Acelgas,Alicante,kg,Hortalizas hoja,2019,1,0.883333333,2529
Acelgas,Alicante,kg,Hortalizas hoja,2019,2,0.766666667,250
Acelgas,Alicante,kg,Hortalizas hoja,2019,3,0.56,1400
Acelgas,Alicante,kg,Hortalizas hoja,2019,4,0.635714286,370
Acelgas,Alicante,kg,Hortalizas hoja,2019,5,0.54,340
Acelgas,Alicante,kg,Hortalizas hoja,2019,6,0.55,346
Acelgas,Alicante,kg,Hortalizas hoja,2019,7,0.65,40
Acelgas,Alicante,kg,Hortalizas hoja,2019,8,0.666666667,1114
Acelgas,Alicante,kg,Hortalizas hoja,2019,9,0.591666667,500
Acelgas,Alicante,kg,Hortalizas hoja,2019,10,0.61,4710
Acelgas,Alicante,kg,Hortalizas hoja,2019,11,0.545,2562
Acelgas,Alicante,kg,Hortalizas hoja,2019,12,0.709090909,2314
Acelgas,Alicante,kg,Hortalizas hoja,2020,1,0.6625,2509
Acelgas,Alicante,kg,Hortalizas hoja,2020,2,0.6,277
Acelgas,Alicante,kg,Hortalizas hoja,2020,3,0.73,1266
Acelgas,Alicante,kg,Hortalizas hoja,2020,4,0.775,739
Acelgas,Alicante,kg,Hortalizas hoja,2020,5,0.8,312
Acelgas,Alicante,kg,Hortalizas hoja,2020,6,0.575,742
Acelgas,Alicante,kg,Hortalizas hoja,2020,7,0.566666667,360
